iter,prevalence,prob_nonhome,los_red,cost_inpt,cost_irf,cost_snf,cost_ltch,cost_intervention,delta_cost_per_patient,bed_days_saved_per_10K
1,0.162128,0.805348,1.068772,2804.344988,1336.318138,727.72687,1456.464981,129.742915,464.89692549046003,1732.782241146574
2,0.1613,0.805873,1.726996,2086.91459,1393.56738,433.174023,2406.860239,63.953023,571.0258463105785,2785.6506100706288
3,0.16197,0.805119,1.327089,3395.460948,2771.5939,686.272441,1088.22909,46.737952,722.2801194668519,2149.4880514315073
4,0.162081,0.804672,0.555056,3144.75913,1628.803516,643.405131,1541.686579,365.741959,223.634576432315,899.6371676920464
5,0.162131,0.802866,0.674549,1549.681438,741.504764,290.718657,3897.059904,132.913624,147.9324986583624,1093.6569250237364
6,0.161837,0.805444,0.853636,3357.821888,1408.706337,420.04339,1692.436079,235.854778,425.71231184512374,1381.4977131898606
7,0.161862,0.805031,1.037074,2178.935446,1910.218196,548.234746,1415.028544,66.844114,354.94267283485965,1678.6279477150363
8,0.161918,0.805788,0.863856,2651.161557,1930.363236,330.456511,1703.413919,285.848815,324.5437018288606,1398.73671973081
9,0.161812,0.806721,0.562805,1971.912974,1441.826173,679.78611,2224.367211,35.1282,173.89484956125787,910.6841961478351
10,0.162243,0.807677,0.623813,1833.108722,1880.220371,467.655125,2457.583112,92.493098,170.52124605309913,1012.0927316294357
11,0.162666,0.803665,0.963043,2497.016526,1672.121663,491.075741,1218.491835,35.867893,385.3336288161341,1566.5419340777444
12,0.161839,0.806648,1.104772,1635.444871,2275.581671,515.383184,1927.683011,81.148132,279.2771512797993,1787.9544977588075
13,0.162378,0.804593,0.513835,2149.885386,1527.60862,623.643447,1488.584632,23.143082,175.61943856748442,834.3578553989333
14,0.162528,0.802249,1.160684,2807.715125,1693.580775,280.663285,1483.244392,14.86961,527.2419819623254,1886.4403664963036
15,0.161993,0.804804,1.907633,1848.961563,1351.3875,350.751263,2392.401546,63.303872,561.1164275177662,3090.2275648936684
16,0.162086,0.804793,1.103362,3498.300371,2544.889784,450.946881,1381.268045,150.058408,601.3135739569257,1788.3998736915116
17,0.162076,0.805294,1.136515,2410.831438,1327.124586,313.823121,1571.504723,124.334181,423.92814833744006,1842.019082724371
18,0.161835,0.803204,0.314263,2838.363004,1576.574686,479.348182,3013.333561,90.56364,129.69937120477445,508.58814173732753
19,0.161775,0.806375,1.368472,2132.498039,1683.260648,428.682516,2019.20385,155.857634,446.88702051344586,2213.8393980100673
20,0.162277,0.804401,0.710358,1995.973019,1064.669169,415.363746,2605.251305,77.986516,217.4299857294903,1152.7481095278079
21,0.162316,0.805621,1.535308,2565.736096,1777.171866,495.058527,1094.908041,20.244129,636.1102090280078,2492.057409878763
22,0.162207,0.80444,1.900783,2949.646043,2008.900614,518.332627,2136.847452,70.704736,897.9677501713926,3083.2057384827363
23,0.161854,0.805192,0.661469,1767.051438,1898.634716,513.086922,2865.74094,25.597576,185.0403986225401,1070.6166895656038
24,0.162495,0.803997,0.676793,2308.622154,1125.10915,364.633055,2336.268448,87.801552,239.6249518482035,1099.7567923424492
25,0.161677,0.803865,1.266529,1912.755172,1243.326225,418.151725,1802.028608,188.775727,361.1505951115277,2047.6807894327499
26,0.162376,0.801659,0.364839,2201.159022,1140.620775,355.075555,2133.957766,75.47951,118.14283969739076,592.4100991928418
27,0.162162,0.803172,1.049612,2386.365695,1250.536559,547.384713,2057.631971,47.969494,398.3970188372259,1702.0686849076808
28,0.161588,0.80293,0.855379,1704.300499,1815.366389,504.516467,971.983065,73.669968,223.66181850719738,1382.1856465433923
29,0.16243,0.804671,0.95985,3332.349535,860.227777,470.726799,1670.693857,68.807917,508.36490262473,1559.0842807493086
30,0.162126,0.805446,0.0,2615.455233,1294.582837,1012.087892,2607.033572,56.996124,-9.240567892037756,0.0
31,0.162998,0.803703,1.25336,2253.045902,1477.227809,346.539821,2209.649667,29.705619,455.4457619180973,2042.9576277446215
32,0.162077,0.806901,2.22884,2280.237693,2260.520744,319.959292,1166.062094,81.880175,810.451984100997,3612.4431368530827
33,0.162869,0.805244,0.792827,2133.507373,1515.257316,500.911716,1433.231888,103.456579,258.6442595936091,1291.2736131068843
34,0.161859,0.80675,0.280307,2186.27529,1444.336721,568.548145,2710.718506,249.682979,58.77843750077531,453.7027942179824
35,0.161467,0.803946,1.399852,1685.998807,1901.367653,633.807728,2064.721542,16.431529,378.4324425486289,2260.2957158382324
36,0.162898,0.80428,0.565741,1617.923597,1021.677685,205.287568,2238.435332,184.477918,119.05399633710006,921.5833126331082
37,0.161397,0.80628,1.015243,863.717063,1708.674924,439.862621,966.962559,20.664041,138.19130334869328,1638.5738772202378
38,0.161687,0.806912,0.645185,2385.278964,1845.123806,565.803646,2173.162241,55.118563,239.91603511918166,1043.181983331165
39,0.162381,0.803373,0.285471,1921.217054,1556.439877,514.122757,2211.215691,106.6067,71.74719114125764,463.5503509326501
40,0.162092,0.803743,1.155346,2770.449568,1846.323954,440.731687,1322.451155,217.440503,483.5844546840723,1872.7282421930797
41,0.162108,0.805925,0.655142,3367.063951,1470.102152,915.527244,1327.668037,310.762241,307.21683844219586,1062.034374694102
42,0.162875,0.805579,0.200569,2311.154343,881.635216,548.140026,1358.949058,226.908397,38.542514211931525,326.6777398510412
43,0.162558,0.803565,1.14615,3431.011815,1153.429408,679.816547,1182.501959,240.771384,600.1111422015571,1863.154041079961
44,0.161949,0.803259,2.436134,1712.267223,1450.131047,274.638406,1401.799532,156.974573,650.1170371476703,3945.2888217351906
45,0.161315,0.806456,1.508609,2432.69508,2727.887023,524.349343,2236.709253,89.164972,577.6415217898331,2433.618602742711
46,0.161849,0.806107,0.98069,3969.3517,1054.106216,380.880795,2826.40488,31.834905,624.8785974926268,1587.2391797804883
47,0.161888,0.803043,2.516558,1543.76402,1974.37235,397.169259,447.701052,350.594074,572.1742111544955,4074.0117826228925
48,0.162468,0.803201,0.121058,2312.132227,1548.716038,389.477024,1584.980597,61.615528,35.464589966523846,196.68042724022072
49,0.162931,0.805162,1.287642,2161.413131,1491.589842,440.258038,2555.233224,138.535704,430.8863134578924,2097.9705146238093
50,0.161558,0.802884,1.916191,3092.609725,1355.769965,535.763588,1865.559594,223.849014,921.2339542631917,3095.7626959036124
51,0.162075,0.804831,0.490841,1999.255546,1638.047547,490.386999,2223.603129,56.510296,149.88774814579352,795.5292919431745
52,0.162555,0.805568,1.150778,3148.419386,1554.10462,632.813748,1336.522123,172.520456,560.9125464678759,1870.6419395738874
53,0.161948,0.8044,0.684837,2919.836263,1564.589223,575.196948,1370.668956,89.028418,309.41481189687346,1109.0785081798194
54,0.162516,0.804472,0.830273,1758.910048,1470.340577,721.409118,2645.592042,95.776111,221.7699113887533,1349.3305615847246
55,0.162404,0.804208,1.205115,2243.956351,2170.592228,468.433277,1353.905827,20.814474,435.7955686174291,1957.1499874330073
56,0.162392,0.805055,0.117656,1568.540496,1814.51998,454.616166,1264.194184,39.715116,23.51980220402494,191.06448315655035
57,0.162013,0.803538,0.496839,1062.043135,1461.137983,619.362224,1358.191639,113.916349,67.03245405829408,804.9424649393143
58,0.161714,0.804527,1.019072,2851.312172,1688.437002,422.426182,1816.162158,308.136899,420.0619283106105,1647.9853373580852
59,0.162051,0.804178,0.122613,2312.634967,1764.731941,696.67365,1697.340553,119.584688,26.57223825064088,198.6957963195283
60,0.162405,0.804725,0.815891,2191.017885,1671.927975,578.983515,1292.628684,213.513292,255.64510691378956,1325.049775220918
61,0.161437,0.805645,0.239236,2099.38916,1124.814192,364.353948,2562.039393,34.654214,75.48686773291789,386.2138908532304
62,0.163227,0.806901,0.267908,1932.017388,1619.301177,549.241395,1601.511418,102.327173,67.78430335804877,437.29857619521846
63,0.161015,0.802714,1.460735,3486.907012,730.097847,415.846005,1466.324411,137.203885,798.0278894642244,2351.9977145795588
64,0.161148,0.804764,1.049604,2143.863503,1462.628702,451.782972,1711.707098,126.820535,342.18026796751167,1691.4191370067297
65,0.161667,0.805749,0.890955,3164.495823,1118.910701,618.448848,1509.325365,217.036444,420.72154199601664,1440.3851436129155
66,0.161956,0.803343,0.779704,2573.265999,1521.512338,804.140165,2847.407703,34.028245,319.4360846669556,1262.7811382214425
