Variable,Train,Test,SMD
N,"1,301,473","650,737",
"Age, mean (SD)",62.0 (19.6),62.0 (19.6),0.000
"Age, median [IQR]",66 [49-78],66 [49-78],
"Female, n (%)","673,364 (51.7%)","336,711 (51.7%)",0.000
"Race: Black, n (%)","136,441 (10.5%)","68,160 (10.5%)",0.000
"Race: Asian, n (%)","24,121 (1.9%)","12,155 (1.9%)",0.001
"Race: Native, n (%)","9,447 (0.7%)","4,660 (0.7%)",0.001
"Race: Other, n (%)","81,428 (6.3%)","40,696 (6.3%)",0.000
"Ethnicity: Hispanic, n (%)","124,153 (9.5%)","62,394 (9.6%)",0.002
"GCS, mean (SD)",14.8 (1.0),14.8 (1.0),0.001
"ISS, mean (SD)",8.3 (5.0),8.3 (5.0),0.001
"SBP, mean (SD)",142.0 (26.3),142.0 (26.3),0.001
"HR, mean (SD)",84.3 (17.2),84.3 (17.2),0.001
"RR, mean (SD)",18.3 (3.6),18.3 (3.6),0.001
"Insurance: Medicare, n (%)","614,760 (47.2%)","308,108 (47.3%)",0.002
"Insurance: Medicaid, n (%)",0 (0.0%),0 (0.0%),0.000
"Insurance: Private, n (%)","383,099 (29.4%)","190,670 (29.3%)",0.003
"Insurance: Charity, n (%)","1,986 (0.2%)","1,015 (0.2%)",0.001
"Insurance: Other, n (%)","195,487 (15.0%)","97,773 (15.0%)",0.000
"Mechanism: MVC, n (%)","315,496 (24.2%)","157,353 (24.2%)",0.001
"Mechanism: Assault, n (%)","39,181 (3.0%)","19,768 (3.0%)",0.002
"Mechanism: Other, n (%)","17,576 (1.4%)","8,769 (1.3%)",0.000
"Transport: Private vehicle, n (%)","210,120 (16.1%)","105,501 (16.2%)",0.002
"Transport: Air, n (%)","55,211 (4.2%)","27,207 (4.2%)",0.003
"Transport: Other, n (%)","6,214 (0.5%)","3,071 (0.5%)",0.001
"Fracture: Cervical (S12), n (%)","64,007 (4.9%)","32,060 (4.9%)",0.000
"Fracture: Thoracic (S22), n (%)","374,322 (28.8%)","187,581 (28.8%)",0.001
"Fracture: Lumbar (S32), n (%)","246,197 (18.9%)","122,562 (18.8%)",0.002
"Fracture: Hip/Femur (S72), n (%)","403,292 (31.0%)","201,532 (31.0%)",0.000
"Fracture: Leg (S82), n (%)","259,992 (20.0%)","129,739 (19.9%)",0.001
"Fracture: Foot (S92), n (%)","61,035 (4.7%)","30,357 (4.7%)",0.001
"Non-home discharge, n (%)","519,655 (39.9%)","259,827 (39.9%)",0.000
