Variable,Prevalence_pct,Univariate_OR,Univariate_CI_low,Univariate_CI_high,Univariate_p,LASSO_coef,Selection_status
age_45_64,24.9,0.37,0.37,0.38,0.0,1.115,Selected
age_65_74,20.4,1.51,1.5,1.52,0.0,2.1606,Selected
age_75plus,33.0,5.76,5.71,5.8,0.0,2.9637,Selected
female,51.7,2.23,2.22,2.25,0.0,0.1802,Selected
race_black,10.5,0.52,0.51,0.53,0.0,-0.0033,Selected
race_asian,1.9,0.71,0.69,0.73,0.0,-0.2897,Selected
race_native,0.7,0.72,0.69,0.75,0.0,0.0323,Selected
race_other,6.3,0.46,0.45,0.46,0.0,-0.1703,Selected
ethnicity_hispanic,9.5,0.43,0.43,0.44,0.0,-0.2558,Selected
sbp_hypotensive,1.4,1.3,1.26,1.34,0.0,0.4761,Selected
sbp_hypertensive,49.3,1.29,1.28,1.3,0.0,-0.1111,Selected
hr_bradycardic,4.4,1.15,1.13,1.17,0.0,-0.0656,Selected
hr_tachycardic,16.9,0.8,0.79,0.8,0.0,0.2151,Selected
rr_low,0.8,0.86,0.82,0.89,0.0,-0.0032,Selected
rr_high,12.7,0.83,0.82,0.84,0.0,0.1093,Selected
gcs_moderate,0.7,1.33,1.28,1.39,0.0,0.3286,Selected
gcs_severe,0.6,1.36,1.3,1.42,0.0,1.1663,Selected
hypoxic,7.6,1.77,1.75,1.79,0.0,0.2026,Selected
temp_hypothermic,0.3,1.57,1.47,1.68,0.0,0.6254,Selected
temp_hyperthermic,0.4,1.2,1.13,1.27,0.0,0.1561,Selected
bmi_underweight,4.1,1.71,1.68,1.74,0.0,0.1128,Selected
bmi_overweight,28.7,0.86,0.85,0.86,0.0,0.0079,Selected
bmi_obese_12,22.8,0.89,0.88,0.9,0.0,0.2379,Selected
bmi_obese_3,5.3,1.26,1.24,1.27,0.0,0.8523,Selected
frac_cervical,4.9,0.88,0.87,0.89,0.0,0.7671,Selected
frac_thoracic,28.8,0.48,0.48,0.48,0.0,0.0836,Selected
frac_lumbar,18.9,1.24,1.23,1.25,0.0,1.1298,Selected
frac_humerus,10.7,0.84,0.83,0.85,0.0,0.5495,Selected
frac_forearm,7.6,0.57,0.56,0.58,0.0,0.1781,Selected
frac_hand,3.8,0.32,0.32,0.33,0.0,-0.0756,Selected
frac_hip_femur,31.0,4.46,4.42,4.49,0.0,1.6189,Selected
frac_leg,20.0,0.68,0.68,0.69,0.0,0.9826,Selected
frac_foot,4.7,0.6,0.59,0.61,0.0,0.3422,Selected
mech_mvc,24.2,0.29,0.29,0.3,0.0,-0.5877,Selected
mech_assault,3.0,0.25,0.24,0.26,0.0,-0.3492,Selected
mech_other,1.4,0.27,0.26,0.28,0.0,-0.4166,Selected
trans_auto,16.1,0.36,0.35,0.36,0.0,-0.9324,Selected
trans_air,4.2,0.75,0.74,0.76,0.0,0.1551,Selected
trans_other_mode,0.5,0.48,0.45,0.51,0.0,-0.2784,Selected
transfer_in,24.2,0.8,0.8,0.81,0.0,-0.258,Selected
prehospital_arrest,0.2,1.22,1.14,1.31,0.0,0.2055,Selected
