Variable,Beta,SE,OR,CI_low,CI_high,P_value,Raw_weight,Integer_points
age_75plus,2.9577,0.0087,19.25,18.93,19.58,0.0,5.15,5
age_65_74,2.1683,0.0087,8.74,8.6,8.89,0.0,3.78,4
frac_hip_femur,1.5933,0.0054,4.92,4.87,4.97,0.0,2.77,3
age_45_64,1.122,0.0085,3.07,3.02,3.12,0.0,1.95,2
gcs_severe,1.2717,0.0267,3.57,3.39,3.76,0.0,2.21,2
frac_lumbar,1.1189,0.006,3.06,3.03,3.1,0.0,1.95,2
frac_leg,1.0188,0.0064,2.77,2.74,2.8,0.0,1.77,2
trans_auto,-0.8946,0.0066,0.41,0.4,0.41,0.0,-1.56,-2
sbp_hypotensive,0.618,0.0184,1.86,1.79,1.92,0.0,1.08,1
temp_hypothermic,0.7187,0.0413,2.05,1.89,2.22,0.0,1.25,1
bmi_obese_3,0.8159,0.0095,2.26,2.22,2.3,0.0,1.42,1
frac_cervical,0.7007,0.0102,2.02,1.98,2.06,0.0,1.22,1
frac_humerus,0.5742,0.0074,1.78,1.75,1.8,0.0,1.0,1
mech_mvc,-0.5333,0.0062,0.59,0.58,0.59,0.0,-0.93,-1
mech_assault,-0.3354,0.0169,0.72,0.69,0.74,0.0,-0.58,-1
mech_other,-0.4385,0.0241,0.64,0.62,0.68,0.0,-0.76,-1
