metric,value
N_train,1246324
N_test,705886
train_years,2019-2022
test_years,2023-2024
train_outcome_rate_pct,39.0
test_outcome_rate_pct,41.57
n_selected_temporal,17
n_selected_primary,16
vars_primary_only,
vars_temporal_only,gcs_moderate
temporal_model_AUROC,0.8238
temporal_model_AUROC_CI_low,0.8229
temporal_model_AUROC_CI_high,0.8247
primary_weights_AUROC,0.8258
primary_weights_AUROC_CI_low,0.8248
primary_weights_AUROC_CI_high,0.8266
delta_AUROC_temporal_minus_primary,-0.002
temporal_weight_age_75plus,7
temporal_weight_age_65_74,5
temporal_weight_frac_hip_femur,4
temporal_weight_age_45_64,3
temporal_weight_gcs_severe,3
temporal_weight_frac_lumbar,3
temporal_weight_temp_hypothermic,2
temporal_weight_bmi_obese_3,2
temporal_weight_frac_cervical,2
temporal_weight_frac_leg,2
temporal_weight_trans_auto,-2
temporal_weight_sbp_hypotensive,1
temporal_weight_gcs_moderate,1
temporal_weight_frac_humerus,1
temporal_weight_mech_mvc,-1
temporal_weight_mech_assault,-1
temporal_weight_mech_other,-1
