subgroup,level,n,events,event_rate_pct,auroc,auroc_ci_lo,auroc_ci_hi
Age,65-74,132714,63426,47.79,0.7222829510290512,0.7195911221678238,0.724889941569726
Age,75+,215154,144731,67.27,0.6934896548107999,0.6914555801048654,0.6960045702234872
Age,<65,302869,51670,17.06,0.7721621835949992,0.7702057337693986,0.7740268264245529
Sex,F,336711,164956,48.99,0.7983874880583955,0.7971387763308211,0.7999198914704511
Sex,M,312554,94328,30.18,0.8372537965269514,0.8359952642290842,0.8385491551698375
Fracture site,Axial (S12/S22/S32),280380,92960,33.16,0.7920227049886666,0.7903823021210561,0.7936081768670767
Fracture site,Hip (S72),175801,113465,64.54,0.7278979585198051,0.7255581104806107,0.7298396237516407
Fracture site,Other,194556,53402,27.45,0.8491114171652246,0.8471768807097698,0.8508397530214976
Mechanism,Assault (X),19768,2827,14.3,0.7375790700144598,0.728014761217207,0.7473713846609077
Mechanism,Fall (W),464330,223898,48.22,0.7991391762462088,0.7979537535871717,0.8004525519594704
Mechanism,MVC (V),157353,31581,20.07,0.8042964032306892,0.8020661389958779,0.8066263962593642
Mechanism,Other,9286,1521,16.38,0.8119685637393299,0.8005833106525037,0.8231826941223013
Year,2019,109061,44948,41.21,0.8350638203828459,0.832755376876628,0.8371327115555708
Year,2020,93905,34031,36.24,0.8306950978491365,0.8278372178966817,0.8332539511236974
Year,2021,104347,39719,38.06,0.8294595740436472,0.8269587655188904,0.8318947135473994
Year,2022,108170,43337,40.06,0.8280021735709011,0.8255221558144358,0.8302918368233052
Year,2023,113833,46895,41.2,0.8268677097285803,0.824947837885806,0.8291817115811275
Year,2024,121421,50897,41.92,0.8227764233233578,0.8207977706092848,0.8249081746162064
Verification level,NOT_AVAILABLE_2019_2024_POOL,0,0,,,,
